participant,condition,condition_idx,prototype_idx,prototype_idx_nox1,prototype,curvature,input_type,block,task,condition_task_idx,start_idx,end_idx,is_long,angle,start_offset_x,start_offset_y,start_offset,end_offset_x,end_offset_y,end_offset,end_dist_along_task_axis,drag_distance,trajectory_distance,time,n_attempts,task_axis_crossing,movement_direction_change,orthogonal_direction_change,movement_variability,movement_variability_hinge,movement_error,movement_offset
9,flat-touch,0,0,0,flat,0.0,touch,0,3,3,3,9.0,True,330.0,0.28123968689791123,-0.009353986174145712,0.2813951999302427,0.07035634931605252,-0.16535037950851722,0.17969631018107488,0.14360557557949205,22.98064765838049,23.139572699880368,1645.9000000357628,1,2,39,0,0.15045105118867588,0.05456008978598173,0.22983946510821524,0.22598077983488363
9,flat-touch,0,0,0,flat,0.0,touch,0,8,8,8,2.0,True,180.0,0.041374531435394386,0.09673177262228835,0.10520878141176493,-0.07350839632205472,-0.20006783629718353,0.21314460689981554,0.07350839632205469,22.607065441088242,22.8225762585705,2055.7999999523163,1,5,31,0,0.24816418051052427,0.24816418051052427,0.24537179870294057,-0.1372237757949027
9,flat-touch,0,0,0,flat,0.0,touch,0,22,22,22,16.0,False,120.0,0.20183596654626404,-0.0987287275385036,0.22468893838602,-0.00021710752609762629,-0.008493490393035508,0.00849626475190567,-0.0072470246841190135,11.33925580520584,11.733481516593294,1364.0,1,2,34,1,0.0639513634583933,0.0420175347234947,0.05530371489466514,-0.03559549033610691
9,flat-touch,0,0,0,flat,0.0,touch,0,18,18,18,12.0,False,240.0,0.04071940628461385,0.031246403266452914,0.05132648210486716,0.04088583375659303,-0.011544170162544297,0.04248434142967901,-0.010445372251922842,11.397160749847902,11.477411392415107,1210.800000011921,1,0,15,0,0.11639234960667581,0.08442382075427439,0.2175480024928486,0.2175480024928486
9,flat-touch,0,0,0,flat,0.0,touch,0,4,4,4,10.0,True,300.0,0.13076166125843106,0.25448176215708934,0.28611113107609437,0.022323402709161153,-0.12658199713216392,0.12853535041568345,0.1207849265328035,23.10443205952739,23.279632617044797,1687.800000011921,1,3,26,0,0.27755246093759206,0.0465395615701418,0.369289859181217,0.3677396755317463
9,flat-touch,0,0,0,flat,0.0,touch,0,14,14,14,20.0,False,0.0,0.19583727330408757,0.25094852675887763,0.3183196517616074,0.1464609879286601,0.1197189199015264,0.18916511509109502,0.1464609879286601,11.41013095590945,11.512033169778688,1422.5999999642372,1,2,18,0,0.09297355246208995,0.09297355246208995,0.1780226364152068,-0.17495784577889417
9,flat-touch,0,0,0,flat,0.0,touch,0,15,15,15,21.0,False,330.0,0.10148055807812173,0.5024092932620322,0.5125557546490935,-0.4101179374768351,-0.14804373274557778,0.4360202626547272,-0.28115068602982823,12.132181594739897,12.32397883235304,1225.1000000238419,1,4,25,2,0.16830095888881766,0.07332029308775684,0.13574766684116713,0.02229251994286601
9,flat-touch,0,0,0,flat,0.0,touch,0,5,5,5,11.0,True,270.0,0.1639916864415901,0.17548786433709263,0.24018589415606953,0.10757812717072383,-0.35036675751666413,0.36651046126720765,0.35036675751666413,23.245923074595883,23.741459330199106,1834.0,1,2,18,3,0.25944619705938365,0.21206582881042516,0.2076783544584374,-0.07238538245706852
9,flat-touch,0,0,0,flat,0.0,touch,0,19,19,19,13.0,False,210.0,0.11092043238719608,0.4262041505284108,0.4404013172648406,0.4133686735036495,-0.0710066410971811,0.4194229408533475,-0.32248445183424523,11.87382032393271,11.975968534581192,1198.5999999642372,1,0,31,0,0.09427679027555987,0.050165132733866344,0.28249186523745595,0.28249186523745595
9,flat-touch,0,0,0,flat,0.0,touch,0,23,23,23,17.0,False,90.0,0.0462870905503133,-0.09052414558196148,0.1016716070737404,-0.16686864187735545,0.035156180320388315,0.1705318171389514,0.03515618032038831,11.487658069210061,11.974672783764738,1373.199999988079,1,1,3,3,0.21659259572274672,0.16311760678489062,0.48359872731208076,0.481974618871719
